subject,task,condition,component,roi,mean_amp_uV
sub18,task1,correct,N1,"O1,Oz,O2",-8.069287972166538
sub18,task1,correct_left,N1,"O1,Oz,O2",-8.392032740419097
sub18,task1,correct_right,N1,"O1,Oz,O2",-7.74656071089485
sub18,task1,error,N1,"O1,Oz,O2",-8.366214292674288
sub18,task1,error_left,N1,"O1,Oz,O2",-8.813891305131905
sub18,task1,error_right,N1,"O1,Oz,O2",-8.413621041770547
sub18,task1,left,N1,"O1,Oz,O2",-8.233299810878378
sub18,task1,right,N1,"O1,Oz,O2",-7.899186631829821
sub19,task1,correct,N1,"O1,Oz,O2",-4.077294375774162
sub19,task1,correct_left,N1,"O1,Oz,O2",-3.7106995043584794
sub19,task1,correct_right,N1,"O1,Oz,O2",-4.3602342600530015
sub19,task1,error,N1,"O1,Oz,O2",-4.454737590977423
sub19,task1,error_left,N1,"O1,Oz,O2",-5.462370643906429
sub19,task1,error_right,N1,"O1,Oz,O2",-4.105777549098843
sub19,task1,left,N1,"O1,Oz,O2",-3.871808407134169
sub19,task1,right,N1,"O1,Oz,O2",-4.304691945360604
sub20,task1,correct,N1,"O1,Oz,O2",-0.7205409810165779
sub20,task1,correct_left,N1,"O1,Oz,O2",-0.5509086683278559
sub20,task1,correct_right,N1,"O1,Oz,O2",-0.863719884597124
sub20,task1,error,N1,"O1,Oz,O2",-0.7518962087543061
sub20,task1,error_left,N1,"O1,Oz,O2",-0.7663473484296315
sub20,task1,error_right,N1,"O1,Oz,O2",-0.6340590006276584
sub20,task1,left,N1,"O1,Oz,O2",-0.5893312359993399
sub20,task1,right,N1,"O1,Oz,O2",-0.8179799130168098
sub21,task1,correct,N1,"O1,Oz,O2",-2.965545606036512
sub21,task1,correct_left,N1,"O1,Oz,O2",-3.0514566528950846
sub21,task1,correct_right,N1,"O1,Oz,O2",-2.889592014222176
sub21,task1,error,N1,"O1,Oz,O2",-3.02557702885112
sub21,task1,error_left,N1,"O1,Oz,O2",-2.797832826233142
sub21,task1,error_right,N1,"O1,Oz,O2",-3.43012977137758
sub21,task1,left,N1,"O1,Oz,O2",-2.9960282324186283
sub21,task1,right,N1,"O1,Oz,O2",-2.9970383772050786
sub22,task1,correct,N1,"O1,Oz,O2",-1.7883907213232704
sub22,task1,correct_left,N1,"O1,Oz,O2",-1.630950112581142
sub22,task1,correct_right,N1,"O1,Oz,O2",-1.9340470788957422
sub22,task1,error,N1,"O1,Oz,O2",-2.2443080629965104
sub22,task1,error_left,N1,"O1,Oz,O2",-2.4441230612281846
sub22,task1,error_right,N1,"O1,Oz,O2",-1.9718034109141782
sub22,task1,left,N1,"O1,Oz,O2",-1.7091984689719382
sub22,task1,right,N1,"O1,Oz,O2",-1.9155548893714522
sub24,task1,correct,N1,"O1,Oz,O2",-8.894968622632453
sub24,task1,correct_left,N1,"O1,Oz,O2",-8.678052077409959
sub24,task1,correct_right,N1,"O1,Oz,O2",-9.083614391377186
sub24,task1,error,N1,"O1,Oz,O2",-8.491834112880062
sub24,task1,error_left,N1,"O1,Oz,O2",-7.802262685217979
sub24,task1,error_right,N1,"O1,Oz,O2",-8.834452209737918
sub24,task1,left,N1,"O1,Oz,O2",-8.54375755716861
sub24,task1,right,N1,"O1,Oz,O2",-9.02524755459764
sub25,task1,correct,N1,"O1,Oz,O2",-3.5463630454620496
sub25,task1,correct_left,N1,"O1,Oz,O2",-3.453738918539983
sub25,task1,correct_right,N1,"O1,Oz,O2",-3.638981069165098
sub25,task1,error,N1,"O1,Oz,O2",-3.7526007039664697
sub25,task1,error_left,N1,"O1,Oz,O2",-3.3839853069428942
sub25,task1,error_right,N1,"O1,Oz,O2",-3.8925561630867094
sub25,task1,left,N1,"O1,Oz,O2",-3.44617322916631
sub25,task1,right,N1,"O1,Oz,O2",-3.7017134526418003
sub26,task1,correct,N1,"O1,Oz,O2",-5.0109056283542905
sub26,task1,correct_left,N1,"O1,Oz,O2",-5.034016064671398
sub26,task1,correct_right,N1,"O1,Oz,O2",-4.98828941626145
sub26,task1,error,N1,"O1,Oz,O2",-5.292968797515197
sub26,task1,error_left,N1,"O1,Oz,O2",-6.795157401837224
sub26,task1,error_right,N1,"O1,Oz,O2",-4.328146215042547
sub26,task1,left,N1,"O1,Oz,O2",-5.184456340888122
sub26,task1,right,N1,"O1,Oz,O2",-4.906309090327504
sub27,task1,correct,N1,"O1,Oz,O2",-8.075508964935217
sub27,task1,correct_left,N1,"O1,Oz,O2",-7.932874798648902
sub27,task1,correct_right,N1,"O1,Oz,O2",-8.286422972399436
sub27,task1,error,N1,"O1,Oz,O2",-7.344283422401769
sub27,task1,error_left,N1,"O1,Oz,O2",-7.8956564839978824
sub27,task1,error_right,N1,"O1,Oz,O2",-6.686684562679657
sub27,task1,left,N1,"O1,Oz,O2",-7.872069385225314
sub27,task1,right,N1,"O1,Oz,O2",-8.057985507712166
sub28,task1,correct,N1,"O1,Oz,O2",-2.820096823854508
sub28,task1,correct_left,N1,"O1,Oz,O2",-3.0785464876599367
sub28,task1,correct_right,N1,"O1,Oz,O2",-2.501232360874652
sub28,task1,error,N1,"O1,Oz,O2",-2.945473551825601
sub28,task1,error_left,N1,"O1,Oz,O2",-3.408991059399479
sub28,task1,error_right,N1,"O1,Oz,O2",-2.779047934008805
sub28,task1,left,N1,"O1,Oz,O2",-3.0953990814353975
sub28,task1,right,N1,"O1,Oz,O2",-2.5451334102851253
sub18,task2,correct,N1,"O1,Oz,O2",-6.766678229452193
sub18,task2,correct_left,N1,"O1,Oz,O2",-7.453352052008082
sub18,task2,correct_right,N1,"O1,Oz,O2",-6.770368582212365
sub18,task2,error,N1,"O1,Oz,O2",-7.046169142050978
sub18,task2,error_left,N1,"O1,Oz,O2",-4.9638317442503785
sub18,task2,error_right,N1,"O1,Oz,O2",-6.936036319605604
sub18,task2,left,N1,"O1,Oz,O2",-7.373360891234349
sub18,task2,right,N1,"O1,Oz,O2",-6.807311620687345
sub19,task2,correct,N1,"O1,Oz,O2",-6.589662114988656
sub19,task2,correct_left,N1,"O1,Oz,O2",-7.481433246218329
sub19,task2,correct_right,N1,"O1,Oz,O2",-6.453636246939565
sub19,task2,error,N1,"O1,Oz,O2",-7.09296097454604
sub19,task2,error_left,N1,"O1,Oz,O2",-6.672864741767759
sub19,task2,error_right,N1,"O1,Oz,O2",-7.124010334104817
sub19,task2,left,N1,"O1,Oz,O2",-7.288212376118067
sub19,task2,right,N1,"O1,Oz,O2",-6.5124960858193965
sub20,task2,correct,N1,"O1,Oz,O2",-0.07330745191360902
sub20,task2,correct_left,N1,"O1,Oz,O2",-0.317486679835996
sub20,task2,correct_right,N1,"O1,Oz,O2",-0.039194393050541565
