id_sess,block,trial,dual,lines_first,decision,task,side,coherence,mu,meanTilt,sdTilt,tOn,tOff,rr,acc,tResp,Unnamed: 17,id,seq,signed_mu,signed_coherence,session,id_session
01zj01,1,1,0,1,1,orientation,-1,NaN,9.8106,-8.377,15.0393,1131685.4732,1131685.7779,0,1,0.1818,NaN,1,01,-9.8106,NaN,1.0,1_1.0
01zj01,1,1,0,1,2,motion,-1,0.7772,NaN,NaN,NaN,1131686.4905,1131686.9105,1,0,0.2173,NaN,1,01,NaN,-0.7772,1.0,1_1.0
01zj01,1,2,0,1,1,orientation,-1,NaN,10.9888,-10.5783,13.7069,1131689.4862,1131689.7906,0,1,0.2651,NaN,1,01,-10.9888,NaN,1.0,1_1.0
01zj01,1,2,0,1,2,motion,-1,0.4007,NaN,NaN,NaN,1131690.5674,1131690.9803,1,0,0.1955,NaN,1,01,NaN,-0.4007,1.0,1_1.0
01zj01,1,3,0,1,1,orientation,1,NaN,8.5804,8.8957,13.8581,1131693.6577,1131693.9619,1,1,0.2695,NaN,1,01,8.5804,NaN,1.0,1_1.0
01zj01,1,3,0,1,2,motion,-1,0.7401,NaN,NaN,NaN,1131694.7433,1131695.1468,0,1,0.1729,NaN,1,01,NaN,-0.7401,1.0,1_1.0
01zj01,1,4,0,1,1,orientation,1,NaN,0.8159,1.5254,15.3832,1131697.5854,1131697.8874,0,0,0.232,NaN,1,01,0.8159,NaN,1.0,1_1.0
01zj01,1,4,0,1,2,motion,-1,0.6604,NaN,NaN,NaN,1131698.6124,1131698.9633,0,1,0.2764,NaN,1,01,NaN,-0.6604,1.0,1_1.0
01zj01,1,5,0,1,1,orientation,1,NaN,9.8115,10.8135,15.8409,1131701.6938,1131701.9958,1,1,0.3636,NaN,1,01,9.8115,NaN,1.0,1_1.0
01zj01,1,5,0,1,2,motion,-1,0.4852,NaN,NaN,NaN,1131702.9485,1131703.2993,0,1,0.4044,NaN,1,01,NaN,-0.4852,1.0,1_1.0
01zj01,1,6,0,1,1,orientation,1,NaN,11.6238,12.4026,16.309,1131705.6801,1131705.983,1,1,0.2808,NaN,1,01,11.6238,NaN,1.0,1_1.0
01zj01,1,6,0,1,2,motion,1,0.6824,NaN,NaN,NaN,1131706.7883,1131707.1355,1,1,0.2003,NaN,1,01,NaN,0.6824,1.0,1_1.0
01zj01,1,7,0,1,1,orientation,-1,NaN,8.3889,-7.0372,14.0371,1131709.8554,1131710.1574,0,1,0.202,NaN,1,01,-8.3889,NaN,1.0,1_1.0
01zj01,1,7,0,1,2,motion,1,0.4807,NaN,NaN,NaN,1131710.8697,1131711.2182,1,1,0.3415,NaN,1,01,NaN,0.4807,1.0,1_1.0
01zj01,1,8,0,1,1,orientation,1,NaN,2.661,2.2895,15.0643,1131713.8821,1131714.1842,0,0,0.1435,NaN,1,01,2.661,NaN,1.0,1_1.0
01zj01,1,8,0,1,2,motion,1,0.6757,NaN,NaN,NaN,1131714.8367,1131715.1847,1,1,0.343,NaN,1,01,NaN,0.6757,1.0,1_1.0
01zj01,1,9,0,1,1,orientation,1,NaN,5.8415,9.3743,16.6165,1131717.9903,1131718.2922,1,1,0.1955,NaN,1,01,5.8415,NaN,1.0,1_1.0
01zj01,1,9,0,1,2,motion,-1,0.7369,NaN,NaN,NaN,1131719.0283,1131719.3789,0,1,0.2285,NaN,1,01,NaN,-0.7369,1.0,1_1.0
01zj01,1,10,0,1,1,orientation,-1,NaN,3.6762,-2.9783,15.1954,1131721.9969,1131722.2988,0,1,0.1889,NaN,1,01,-3.6762,NaN,1.0,1_1.0
01zj01,1,10,0,1,2,motion,1,0.4244,NaN,NaN,NaN,1131722.9964,1131723.3454,1,1,0.4543,NaN,1,01,NaN,0.4244,1.0,1_1.0
01zj01,1,11,0,1,1,orientation,1,NaN,1.2676,0.9579,14.9216,1131725.8965,1131726.2019,0,0,0.3497,NaN,1,01,1.2676,NaN,1.0,1_1.0
01zj01,1,11,0,1,2,motion,1,0.3089,NaN,NaN,NaN,1131727.0634,1131727.4742,1,1,0.2934,NaN,1,01,NaN,0.3089,1.0,1_1.0
01zj01,1,12,0,1,1,orientation,-1,NaN,4.0526,-3.9444,15.2977,1131729.6855,1131729.9875,0,1,0.2761,NaN,1,01,-4.0526,NaN,1.0,1_1.0
01zj01,1,12,0,1,2,motion,1,0.4648,NaN,NaN,NaN,1131730.7564,1131731.1028,1,1,0.3769,NaN,1,01,NaN,0.4648,1.0,1_1.0
01zj01,1,13,0,1,1,orientation,-1,NaN,3.7346,-3.4886,16.5789,1131733.9783,1131734.2815,0,1,0.5259,NaN,1,01,-3.7346,NaN,1.0,1_1.0
01zj01,1,13,0,1,2,motion,1,0.7546,NaN,NaN,NaN,1131735.3328,1131735.6812,1,1,0.3105,NaN,1,01,NaN,0.7546,1.0,1_1.0
01zj01,1,14,0,1,1,orientation,1,NaN,5.0814,5.5926,14.2213,1131738.5986,1131738.9006,1,1,0.4991,NaN,1,01,5.0814,NaN,1.0,1_1.0
01zj01,1,14,0,1,2,motion,1,0.7399,NaN,NaN,NaN,1131739.8924,1131740.2445,1,1,0.3231,NaN,1,01,NaN,0.7399,1.0,1_1.0
01zj01,1,15,0,1,1,orientation,-1,NaN,3.0968,-4.3176,15.2644,1131742.7321,1131743.0341,0,1,0.2536,NaN,1,01,-3.0968,NaN,1.0,1_1.0
01zj01,1,15,0,1,2,motion,1,0.1056,NaN,NaN,NaN,1131743.7805,1131744.1309,1,1,0.3889,NaN,1,01,NaN,0.1056,1.0,1_1.0
