"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "acc.stat" "acc.p.value"
"bayes" -960.484474922057 0 1920.96894984411 4.12606862640308e-111 NA NA NA NA 3.01533671692966e-111 1 0.301879057373326 0.708646594181032
"sub1" -705.3148546469 1 1412.6297092938 1 -5.34942442079943e-09 NA NA NA 0.730801397154243 1 0.301879057373326 0.708646594181032
"sub2" -705.314854644836 2 1414.62970928967 0.367879441930907 NA 1.24475555223364 0 NA 0.26884681014743 1 0.301879057373326 0.708646594181032
"metanoise" -712.953709585293 1 1427.90741917059 0.000481379345601978 NA NA NA 10 0.000351792698327121 1 0.301879057373326 0.708646594181032
"bayes" -492.738693966417 0 985.477387932835 2.31696547148995e-25 NA NA NA NA 2.30653832531792e-25 2 56.6583186976382 2.59255197693297e-14
"sub1" -440.413415814311 1 882.826831628622 0.00452068915131711 -0.624390370137584 NA NA NA 0.00450034448621136 2 56.6583186976382 2.59255197693297e-14
"sub2" -434.014324984657 2 872.028649969314 1 NA 0.356515823132011 -0.873517715544382 NA 0.995499654051677 2 56.6583186976382 2.59255197693297e-14
"metanoise" -455.353198875375 1 912.706397750751 1.46872098853388e-09 NA NA NA 2.80911593567803 1.46211123598392e-09 2 56.6583186976382 2.59255197693297e-14
"bayes" -603.478241984175 0 1206.95648396835 1.45858441884225e-11 NA NA NA NA 1.03551188663583e-11 4 4.95868778972034 0.0129799497551773
"sub1" -577.527272350482 1 1157.05454470096 1 -0.87968068172717 NA NA NA 0.709943060723062 4 4.95868778972034 0.0129799497551773
"sub2" -577.422379875144 2 1158.84475975029 0.408563665608726 NA 0.0460015456547579 -0.913561732989074 NA 0.290056939262493 4 4.95868778972034 0.0129799497551773
"metanoise" -603.407039353771 1 1208.81407870754 5.76182412326639e-12 NA NA NA 0.965217923100502 4.09056705341971e-12 4 4.95868778972034 0.0129799497551773
"bayes" NA 0 NA NA NA NA NA NA NA 6 29.2466844036556 3.18625878415795e-08
"sub1" -547.98203862972 1 1097.96407725944 NA -1.22166272242132 NA NA NA NA 6 29.2466844036556 3.18625878415795e-08
"sub2" -504.738721094375 2 1013.47744218875 NA NA 0.662996851987973 -4.69661142853786 NA NA 6 29.2466844036556 3.18625878415795e-08
"metanoise" -530.766367685109 1 1063.53273537022 NA NA NA NA 0.538080592232684 NA 6 29.2466844036556 3.18625878415795e-08
"bayes" -308.077849581287 0 616.155699162573 0.000147758614725966 NA NA NA NA 0.000146591953627988 7 23.8283118798228 5.26609391896713e-07
"sub1" -303.135570853718 1 608.271141707436 0.00761487376661068 -0.937328980182122 NA NA NA 0.00755474883239959 7 23.8283118798228 5.26609391896713e-07
"sub2" -297.257918984007 2 598.515837968014 1 NA 0.653465954961158 -2.26868357583383 NA 0.992104276964547 7 23.8283118798228 5.26609391896713e-07
"metanoise" -306.79567590434 1 615.591351808679 0.000195929252538046 NA NA NA 0.821151590473376 0.000194382249425462 7 23.8283118798228 5.26609391896713e-07
"bayes" -405.0260158938 0 810.0520317876 2.67143974921341e-09 NA NA NA NA 2.65448124908277e-09 8 48.8059872853628 1.41287938372999e-12
"sub1" -389.33860355015 1 780.677207100299 0.00638862678507289 -0.847652829557021 NA NA NA 0.00634807130250916 8 48.8059872853628 1.41287938372999e-12
"sub2" -383.285367615848 2 770.570735231696 1 NA 0.315250150284288 -1.15548857836767 NA 0.993651924908418 8 48.8059872853628 1.41287938372999e-12
"metanoise" -404.875992641317 1 811.751985282634 1.14183978891708e-09 NA NA NA 1.05864314726935 1.13459130419448e-09 8 48.8059872853628 1.41287938372999e-12
"bayes" -521.544892676596 0 1043.08978535319 0.127556966876526 NA NA NA NA 0.106578765370845 9 73.4527048756275 5.15383233730119e-18
"sub1" -560.105342741646 1 1122.21068548329 8.41044584874612e-19 -0.836207779865827 NA NA NA 7.02725187598256e-19 9 73.4527048756275 5.15383233730119e-18
"sub2" -517.485700461459 2 1038.97140092292 1 NA 0.796886790944867 -1.89241431182131 NA 0.835538567438756 9 73.4527048756275 5.15383233730119e-18
"metanoise" -521.155358987253 1 1044.31071797451 0.0692758771959881 NA NA NA 1.06478198020692 0.0578826671903991 9 73.4527048756275 5.15383233730119e-18
"bayes" -452.020021751931 0 904.040043503863 1.19881857940743e-19 NA NA NA NA 9.08182743336142e-20 10 31.0984813996617 1.22631599804108e-08
"sub1" -411.386043105161 1 824.772086210323 0.0195691376108922 -0.386883659711748 NA NA NA 0.0148248895916906 10 31.0984813996617 1.22631599804108e-08
"sub2" -406.452241539723 2 816.904483079445 1 NA 0.641550100256463 -0.652884092952309 NA 0.757564788314385 10 31.0984813996617 1.22631599804108e-08
"metanoise" -408.654715549446 1 819.309431098893 0.30044997550687 NA NA NA 2.7583342370497 0.227610322093924 10 31.0984813996617 1.22631599804108e-08
"bayes" -161.9484224018 0 323.8968448036 0.00562293038313315 NA NA NA NA 0.00273482156667516 14 15.7650238839127 3.58580659687019e-05
"sub1" -157.570919630248 1 317.141839260495 0.164737899008218 -0.576332415707243 NA NA NA 0.0801234815938427 14 15.7650238839127 3.58580659687019e-05
"sub2" -154.767520071317 2 313.535040142635 1 NA 0.709060533698426 -1.09377817386564 NA 0.486369451572561 14 15.7650238839127 3.58580659687019e-05
"metanoise" -155.888909077664 1 313.777818155327 0.88568935379087 NA NA NA 1.78746255294979 0.430772245266921 14 15.7650238839127 3.58580659687019e-05
"bayes" -181.514478875784 0 363.028957751569 3.16159076828007e-18 NA NA NA NA 1.74414481245328e-18 15 17.7962985660007 1.22930536928182e-05
"sub1" -140.219022510507 1 282.438045021013 1 -0.143309584486293 NA NA NA 0.551666847573097 15 17.7962985660007 1.22930536928182e-05
"sub2" -140.219022510507 2 284.438045021013 0.367879441171442 NA 0 -0.143309585166076 NA 0.202946891598002 15 17.7962985660007 1.22930536928182e-05
"metanoise" -141.02913329371 1 284.058266587419 0.444808786151293 NA NA NA 10 0.2453862608289 15 17.7962985660007 1.22930536928182e-05
"bayes" -141.22339989472 0 282.446799789439 0.255733524329522 NA NA NA NA 0.16155550786257 16 32.2024880588717 6.9456377159218e-09
"sub1" -145.824575197418 1 293.649150394836 0.000944556927769064 -0.76481016500033 NA NA NA 0.00059670852529374 16 32.2024880588717 6.9456377159218e-09
"sub2" -138.979819284346 2 281.959638568692 0.326267172129343 NA 0.791552493355929 -1.47774245140607 NA 0.206113996318767 16 32.2024880588717 6.9456377159218e-09
"metanoise" -138.859780597495 1 279.71956119499 1 NA NA NA 1.35897004767232 0.631733787293369 16 32.2024880588717 6.9456377159218e-09
"bayes" -93.6472408261682 0 187.294481652336 1 NA NA NA NA 0.725721839619525 18 33.5618803334484 3.45162193346547e-09
"sub1" -113.540096067647 1 229.080192135294 8.44011292672268e-10 -0.824868711666775 NA NA NA 6.12517427977771e-10 18 33.5618803334484 3.45162193346547e-09
"sub2" -96.3463759562847 2 196.692751912569 0.00910314673555687 NA 0.762867729536468 -1.89704108974455 NA 0.0066063523952548 18 33.5618803334484 3.45162193346547e-09
"metanoise" -93.644645995835 1 189.28929199167 0.368835265468979 NA NA NA 1.0055580636297 0.267671807372703 18 33.5618803334484 3.45162193346547e-09
"bayes" -225.981506541948 0 451.963013083896 1.18742228197009e-15 NA NA NA NA 1.18742215640059e-15 21 0.122409508770641 0.363217867398445
"sub1" -213.111126575655 1 428.222253151311 1.69764043810738e-10 -1.11545884206575 NA NA NA 1.69764025858249e-10 21 0.122409508770641 0.363217867398445
"sub2" -189.61451495506 2 383.22902991012 1 NA 0.406218589765782 -7.92934262109273 NA 0.999999894250347 21 0.122409508770641 0.363217867398445
"metanoise" -206.678312792787 1 415.356625585575 1.05579898624626e-07 NA NA NA 0.397537245667628 1.05579887459589e-07 21 0.122409508770641 0.363217867398445
