subject,task,status,n_files,detail
sub18,task1,ok_file,2,"clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif | epochs=300, beh=300"
sub18,task1,ok_file,2,"clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif | epochs=300, beh=300"
sub18,task1,ok_subject,2,ok_files=2
sub19,task1,ok_file,2,"clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif | epochs=300, beh=300"
sub19,task1,ok_file,2,"clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif | epochs=300, beh=300"
sub19,task1,ok_subject,2,ok_files=2
sub20,task1,ok_file,2,"clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif | epochs=300, beh=300"
sub20,task1,ok_file,2,"clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif | epochs=300, beh=300"
sub20,task1,ok_subject,2,ok_files=2
sub21,task1,ok_file,2,"clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif | epochs=300, beh=300"
sub21,task1,ok_file,2,"clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif | epochs=300, beh=300"
sub21,task1,ok_subject,2,ok_files=2
sub22,task1,ok_file,4,"clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif | epochs=150, beh=300"
sub22,task1,ok_file,4,"clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif | epochs=150, beh=300"
sub22,task1,skip_file_no_session_map,4,clean_epochs_response1_ICA_sub22_zzy1_sess3-epo.fif
sub22,task1,skip_file_no_session_map,4,clean_epochs_response1_ICA_sub22_zzy1_sess4-epo.fif
sub22,task1,ok_subject,4,ok_files=2
sub24,task1,ok_file,2,"clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif | epochs=150, beh=300"
sub24,task1,ok_file,2,"clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif | epochs=150, beh=300"
sub24,task1,ok_subject,2,ok_files=2
sub25,task1,ok_file,2,"clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif | epochs=300, beh=300"
sub25,task1,ok_file,2,"clean_epochs_response1_ICA_sub25_cjb1_sess4-epo.fif | epochs=300, beh=300"
sub25,task1,ok_subject,2,ok_files=2
sub26,task1,ok_file,2,"clean_epochs_response1_ICA_sub26_pzq1_sess3-epo.fif | epochs=300, beh=300"
sub26,task1,ok_file,2,"clean_epochs_response1_ICA_sub26_pzq1_sess4-epo.fif | epochs=300, beh=300"
sub26,task1,ok_subject,2,ok_files=2
sub27,task1,ok_file,2,"clean_epochs_response1_ICA_sub27_lyj1_sess3-epo.fif | epochs=300, beh=300"
sub27,task1,ok_file,2,"clean_epochs_response1_ICA_sub27_lyj1_sess4-epo.fif | epochs=300, beh=300"
sub27,task1,ok_subject,2,ok_files=2
sub28,task1,ok_file,4,"clean_epochs_response1_ICA_sub28_hbf1_sess1-epo.fif | epochs=150, beh=300"
sub28,task1,ok_file,4,"clean_epochs_response1_ICA_sub28_hbf1_sess2-epo.fif | epochs=150, beh=300"
sub28,task1,skip_file_no_session_map,4,clean_epochs_response1_ICA_sub28_hbf1_sess3-epo.fif
sub28,task1,skip_file_no_session_map,4,clean_epochs_response1_ICA_sub28_hbf1_sess4-epo.fif
sub28,task1,ok_subject,4,ok_files=2
sub18,task2,ok_file,2,"clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif | epochs=300, beh=300"
sub18,task2,ok_file,2,"clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif | epochs=300, beh=300"
sub18,task2,ok_subject,2,ok_files=2
sub19,task2,ok_file,2,"clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif | epochs=300, beh=300"
sub19,task2,ok_file,2,"clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif | epochs=300, beh=300"
sub19,task2,ok_subject,2,ok_files=2
sub20,task2,ok_file,2,"clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif | epochs=300, beh=300"
sub20,task2,ok_file,2,"clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif | epochs=300, beh=300"
sub20,task2,ok_subject,2,ok_files=2
sub21,task2,ok_file,2,"clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif | epochs=300, beh=300"
sub21,task2,ok_file,2,"clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif | epochs=300, beh=300"
sub21,task2,ok_subject,2,ok_files=2
sub22,task2,ok_file,4,"clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif | epochs=150, beh=300"
sub22,task2,ok_file,4,"clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif | epochs=150, beh=300"
sub22,task2,skip_file_no_session_map,4,clean_epochs_task2_ICA_sub22_zzy1_sess3-epo.fif
sub22,task2,skip_file_no_session_map,4,clean_epochs_task2_ICA_sub22_zzy1_sess4-epo.fif
sub22,task2,ok_subject,4,ok_files=2
sub24,task2,ok_file,3,"clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif | epochs=150, beh=300"
sub24,task2,ok_file,3,"clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif | epochs=150, beh=300"
sub24,task2,skip_file_no_session_map,3,clean_epochs_task2_ICA_sub24_czy1_sess3-epo.fif
sub24,task2,ok_subject,3,ok_files=2
sub25,task2,ok_file,2,"clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif | epochs=300, beh=300"
sub25,task2,ok_file,2,"clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif | epochs=300, beh=300"
sub25,task2,ok_subject,2,ok_files=2
sub26,task2,ok_file,2,"clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif | epochs=300, beh=300"
sub26,task2,ok_file,2,"clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif | epochs=300, beh=300"
sub26,task2,ok_subject,2,ok_files=2
sub27,task2,ok_file,2,"clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif | epochs=300, beh=300"
sub27,task2,ok_file,2,"clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif | epochs=300, beh=300"
sub27,task2,ok_subject,2,ok_files=2
sub28,task2,ok_file,4,"clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif | epochs=150, beh=300"
sub28,task2,ok_file,4,"clean_epochs_task2_ICA_sub28_hbf1_sess2-epo.fif | epochs=150, beh=300"
sub28,task2,skip_file_no_session_map,4,clean_epochs_task2_ICA_sub28_hbf1_sess3-epo.fif
sub28,task2,skip_file_no_session_map,4,clean_epochs_task2_ICA_sub28_hbf1_sess4-epo.fif
sub28,task2,ok_subject,4,ok_files=2
